年分,原始值,年增率
1951,10.30,...
1952,10.30,0.00
1953,15.55,-33.76
1954,15.55,0.00
1955,15.55,0.00
1956,24.78,-37.25
1957,24.78,0.00
1958,24.78,0.00
1959,36.38,-31.89
1960,36.38,0.00
1961,40.00,-9.05
1962,40.00,0.00
1963,40.00,0.00
1964,40.00,0.00
1965,40.00,0.00
1966,40.00,0.00
1967,40.00,0.00
1968,40.00,0.00
1969,40.00,0.00
1970,40.00,0.00
1971,40.00,0.00
1972,40.00,0.00
1973,38.25,4.58
1974,38.00,0.66
1975,38.00,0.00
1976,38.00,0.00
1977,38.00,0.00
1978,36.95,2.84
1979,36.00,2.64
1980,36.00,0.00
1981,36.79,-2.15
1982,39.12,-5.96
1983,40.06,-2.35
1984,39.62,1.11
1985,39.86,-0.60
1986,37.85,5.31
1987,31.87,18.76
1988,28.61,11.39
1989,26.41,8.33
1990,26.89,-1.79
1991,26.82,0.26
1992,25.16,6.60
1993,26.39,-4.66
1994,26.46,-0.26
1995,26.49,-0.11
1996,27.46,-3.53
1997,28.70,-4.32
1998,33.46,-14.23
1999,32.27,3.69
2000,31.23,3.33
2001,33.81,-7.63
2002,34.58,-2.23
2003,34.42,0.46
2004,33.43,2.96
2005,32.18,3.88
2006,32.53,-1.08
2007,32.84,-0.94
2008,31.54,4.12
2009,33.06,-4.60
2010,31.65,4.45
2011,29.47,7.40
2012,29.62,-0.51
