年分,原始值,年增率
1951,158,...
1952,213,34.81
1953,181,-15.02
1954,192,6.08
1955,220,14.58
1956,153,-30.45
1957,173,13.07
1958,187,8.09
1959,142,-24.06
1960,164,15.49
1961,162,-1.22
1962,172,6.17
1963,189,9.88
1964,213,12.70
1965,229,7.51
1966,248,8.30
1967,279,12.50
1968,317,13.62
1969,354,11.67
1970,393,11.02
1971,447,13.74
1972,525,17.45
1973,700,33.33
1974,927,32.43
1975,978,5.50
1976,1151,17.69
1977,1323,14.94
1978,1599,20.86
1979,1943,21.51
1980,2385,22.75
1981,2730,14.47
1982,2703,-0.99
1983,2902,7.36
1984,3219,10.92
1985,3290,2.21
1986,4007,21.79
1987,5265,31.40
1988,6146,16.73
1989,7558,22.97
1990,8124,7.49
1991,9016,10.98
1992,10625,17.85
1993,11079,4.27
1994,11982,8.15
1995,12918,7.81
1996,13428,3.95
1997,13810,2.84
1998,12598,-8.78
1999,13585,7.83
2000,14704,8.24
2001,13147,-10.59
2002,13404,1.95
2003,13773,2.75
2004,15012,9.00
2005,16051,6.92
2006,16491,2.74
2007,17154,4.02
2008,17399,1.43
2009,16359,-5.98
2010,18503,13.11
2011,20057,8.40
2012,20423,1.82
