年分,原始值,年增率
1951,158,...
1952,213,34.81
1953,181,-15.02
1954,192,6.08
1955,220,14.58
1956,153,-30.45
1957,173,13.07
1958,186,7.51
1959,141,-24.19
1960,164,16.31
1961,162,-1.22
1962,172,6.17
1963,188,9.30
1964,213,13.30
1965,228,7.04
1966,248,8.77
1967,278,12.10
1968,316,13.67
1969,353,11.71
1970,393,11.33
1971,447,13.74
1972,525,17.45
1973,700,33.33
1974,927,32.43
1975,973,4.96
1976,1143,17.47
1977,1315,15.05
1978,1595,21.29
1979,1944,21.88
1980,2381,22.48
1981,2715,14.03
1982,2702,-0.48
1983,2906,7.55
1984,3259,12.15
1985,3352,2.85
1986,4112,22.67
1987,5383,30.91
1988,6318,17.37
1989,7748,22.63
1990,8339,7.63
1991,9263,11.08
1992,10856,17.20
1993,11285,3.95
1994,12175,7.89
1995,13115,7.72
1996,13614,3.80
1997,13955,2.50
1998,12692,-9.05
1999,13712,8.04
2000,14906,8.71
2001,13401,-10.10
2002,13716,2.35
2003,14197,3.51
2004,15503,9.20
2005,16449,6.10
2006,16911,2.81
2007,17596,4.05
2008,17833,1.35
2009,16901,-5.23
2010,19090,12.95
2011,20625,8.04
2012,21082,2.22
