年分,原始值,年增率
1951,1629,...
1952,2190,34.44
1953,2810,28.31
1954,2978,5.98
1955,3422,14.91
1956,3788,10.70
1957,4276,12.88
1958,4618,8.00
1959,5134,11.17
1960,5975,16.38
1961,6465,8.20
1962,6884,6.48
1963,7533,9.43
1964,8528,13.21
1965,9125,7.00
1966,9910,8.60
1967,11138,12.39
1968,12648,13.56
1969,14138,11.78
1970,15702,11.06
1971,17868,13.79
1972,21001,17.53
1973,26765,27.45
1974,35232,31.63
1975,36971,4.94
1976,43415,17.43
1977,49951,15.05
1978,58932,17.98
1979,69983,18.75
1980,85732,22.50
1981,99899,16.52
1982,105721,5.83
1983,116409,10.11
1984,129127,10.93
1985,133615,3.48
1986,155628,16.47
1987,171545,10.23
1988,180745,5.36
1989,204632,13.22
1990,224241,9.58
1991,248433,10.79
1992,273147,9.95
1993,297820,9.03
1994,322148,8.17
1995,347404,7.84
1996,373836,7.61
1997,400497,7.13
1998,424659,6.03
1999,442497,4.20
2000,465502,5.20
2001,453084,-2.67
2002,474294,4.68
2003,488645,3.03
2004,518280,6.06
2005,529313,2.13
2006,550099,3.93
2007,577869,5.05
2008,562439,-2.67
2009,558751,-0.66
2010,604199,8.13
2011,607818,0.60
2012,624455,2.74
