年分,原始值,年增率
1951,1630,...
1952,2190,34.36
1953,2811,28.36
1954,2978,5.94
1955,3422,14.91
1956,3789,10.72
1957,4282,13.01
1958,4636,8.27
1959,5150,11.09
1960,5977,16.06
1961,6472,8.28
1962,6894,6.52
1963,7542,9.40
1964,8527,13.06
1965,9140,7.19
1966,9917,8.50
1967,11163,12.56
1968,12682,13.61
1969,14156,11.62
1970,15730,11.12
1971,17876,13.64
1972,20996,17.45
1973,26773,27.51
1974,35243,31.64
1975,37179,5.49
1976,43721,17.60
1977,50257,14.95
1978,59069,17.53
1979,69960,18.44
1980,85851,22.71
1981,100434,16.99
1982,105758,5.30
1983,116235,9.91
1984,127543,9.73
1985,131158,2.83
1986,151663,15.63
1987,167806,10.64
1988,175837,4.79
1989,199608,13.52
1990,218456,9.44
1991,241822,10.70
1992,267315,10.54
1993,292363,9.37
1994,317049,8.44
1995,342188,7.93
1996,368729,7.76
1997,396355,7.49
1998,421519,6.35
1999,438384,4.00
2000,459212,4.75
2001,444489,-3.21
2002,463498,4.28
2003,474069,2.28
2004,501849,5.86
2005,516516,2.92
2006,536442,3.86
2007,563349,5.02
2008,548757,-2.59
2009,540813,-1.45
2010,585633,8.29
2011,591074,0.93
2012,604937,2.35
