年分,原始值,年增率
1951,1227,...
1952,1711,39.45
1953,1506,-11.98
1954,1655,9.89
1955,1973,19.21
1956,1420,-28.03
1957,1656,16.62
1958,1849,11.65
1959,1452,-21.47
1960,1752,20.66
1961,1783,1.77
1962,1961,9.98
1963,2215,12.95
1964,2588,16.84
1965,2854,10.28
1966,3189,11.74
1967,3679,15.37
1968,4284,16.44
1969,4973,16.08
1970,5724,15.10
1971,6662,16.39
1972,7991,19.95
1973,10850,35.78
1974,14635,34.88
1975,15640,6.87
1976,18739,19.81
1977,21993,17.36
1978,27181,23.59
1979,33772,24.25
1980,42162,24.84
1981,48958,16.12
1982,49603,1.32
1983,54204,9.28
1984,61695,13.82
1985,64332,4.27
1986,79814,24.07
1987,105592,32.30
1988,125338,18.70
1989,155396,23.98
1990,169110,8.83
1991,189924,12.31
1992,224774,18.35
1993,235852,4.93
1994,256728,8.85
1995,278915,8.64
1996,291900,4.66
1997,301895,3.42
1998,277129,-8.20
1999,301815,8.91
2000,330674,9.56
2001,299391,-9.46
2002,308101,2.91
2003,320312,3.96
2004,351104,9.61
2005,373870,6.48
2006,385957,3.23
2007,403267,4.48
2008,410108,1.70
2009,390051,-4.89
2010,441761,13.26
2011,478366,8.29
2012,490590,2.56
