年分,原始值,年增率
1951,1192,...
1952,1662,39.43
1953,1460,-12.15
1954,1591,8.97
1955,1884,18.42
1956,1352,-28.24
1957,1570,16.12
1958,1748,11.34
1959,1370,-21.62
1960,1658,21.02
1961,1683,1.51
1962,1848,9.80
1963,2095,13.37
1964,2452,17.04
1965,2704,10.28
1966,3019,11.65
1967,3476,15.14
1968,4040,16.23
1969,4674,15.69
1970,5384,15.19
1971,6255,16.18
1972,7473,19.47
1973,10070,34.75
1974,13381,32.88
1975,14170,5.90
1976,16986,19.87
1977,19935,17.36
1978,24766,24.23
1979,30619,23.63
1980,38058,24.30
1981,44261,16.30
1982,44865,1.36
1983,48791,8.75
1984,55790,14.34
1985,58439,4.75
1986,73080,25.05
1987,97053,32.80
1988,118014,21.60
1989,143084,21.24
1990,154678,8.10
1991,173726,12.31
1992,203796,17.31
1993,214086,5.05
1994,233388,9.02
1995,252697,8.27
1996,264373,4.62
1997,273713,3.53
1998,249347,-8.90
1999,270267,8.39
2000,295038,9.17
2001,264092,-10.49
2002,271298,2.73
2003,283146,4.37
2004,308044,8.79
2005,327581,6.34
2006,336050,2.59
2007,348166,3.61
2008,349424,0.36
2009,328971,-5.85
2010,381606,16.00
2011,413127,8.26
2012,416407,0.79
