年分,原始值,年增率
1951,1228,...
1952,1711,39.33
1953,1506,-11.98
1954,1656,9.96
1955,1973,19.14
1956,1420,-28.03
1957,1658,16.76
1958,1856,11.94
1959,1456,-21.55
1960,1753,20.40
1961,1785,1.83
1962,1963,9.97
1963,2218,12.99
1964,2587,16.64
1965,2859,10.51
1966,3192,11.65
1967,3687,15.51
1968,4295,16.49
1969,4979,15.93
1970,5735,15.18
1971,6665,16.22
1972,7989,19.86
1973,10853,35.85
1974,14640,34.89
1975,15728,7.43
1976,18871,19.98
1977,22128,17.26
1978,27244,23.12
1979,33761,23.92
1980,42221,25.06
1981,49221,16.58
1982,49621,0.81
1983,54122,9.07
1984,60938,12.59
1985,63149,3.63
1986,77781,23.17
1987,103290,32.80
1988,121935,18.05
1989,151580,24.31
1990,164747,8.69
1991,184870,12.21
1992,219974,18.99
1993,231531,5.25
1994,252665,9.13
1995,274728,8.73
1996,287912,4.80
1997,298773,3.77
1998,275080,-7.93
1999,299010,8.70
2000,326205,9.10
2001,293712,-9.96
2002,301088,2.51
2003,310757,3.21
2004,339973,9.40
2005,364832,7.31
2006,376375,3.16
2007,393134,4.45
2008,400132,1.78
2009,377529,-5.65
2010,428186,13.42
2011,465187,8.64
2012,475257,2.16
