年分,原始值,年增率
1951,154,...
1952,207,34.42
1953,175,-15.46
1954,184,5.14
1955,210,14.13
1956,146,-30.48
1957,164,12.33
1958,176,7.32
1959,133,-24.43
1960,155,16.54
1961,153,-1.29
1962,162,5.88
1963,178,9.88
1964,202,13.48
1965,216,6.93
1966,235,8.80
1967,263,11.91
1968,298,13.31
1969,332,11.41
1970,369,11.14
1971,419,13.55
1972,491,17.18
1973,649,32.18
1974,848,30.66
1975,882,4.01
1976,1036,17.46
1977,1192,15.06
1978,1453,21.90
1979,1763,21.34
1980,2150,21.95
1981,2455,14.19
1982,2444,-0.45
1983,2616,7.04
1984,2947,12.65
1985,3045,3.33
1986,3765,23.65
1987,4947,31.39
1988,5948,20.23
1989,7134,19.94
1990,7628,6.92
1991,8473,11.08
1992,9843,16.17
1993,10244,4.07
1994,11068,8.04
1995,11882,7.35
1996,12330,3.77
1997,12652,2.61
1998,11419,-9.75
1999,12279,7.53
2000,13299,8.31
2001,11821,-11.11
2002,12077,2.17
2003,12549,3.91
2004,13602,8.39
2005,14412,5.96
2006,14724,2.16
2007,15192,3.18
2008,15194,0.01
2009,14255,-6.18
2010,16491,15.69
2011,17812,8.01
2012,17894,0.46
